MEX2: Luis Malagón
GHA9: Alidu Seidu
GHA10: Thomas Partey
GHA11: Elisha Owusu
GHA12: Abu Francis
GHA14: Mohammed Kudus
GHA15: Ernest Nuamah
GHA16: Kamaldeen Sulemana
GHA17: Jordan Ayew
GHA18: Antoine Semenyo
GHA19: Brandon Thomas-Asante
GHA20: Mohammed Fuseini
PAN2: Orlando Mosquera
PAN3: César Samudio
PAN4: Michael Murillo
PAN5: Fidel Escobar
PAN6: José Córdoba
PAN7: Carlos Harvey
PAN8: Edgardo Fariña
PAN9: Jorge Gutiérrez
PAN10: Adalberto Carrasquilla
PAN11: Cristian Martínez
PAN12: Aníbal Godoy
PAN14: Carlos Gómez
PAN15: José Luis Rodríguez
PAN16: Ismael Díaz
PAN17: Édgar Bárcenas
PAN18: Cecilio Waterman
PAN19: Tomás Rodríguez
PAN20: Eduardo Guerrero
CC1: Lamine Yamal
CC2: Joshua Kimmich
CC3: Harry Kane
CC4: Santiago Giménez
CC5: Joško Gvardiol
CC6: Federico Valverde
CC7: Jefferson Lerma
CC8: Enner Valencia
CC9: Gabriel Magalhães
CC10: Virgil Van Dijk 
CC11: Alphonso Davies
CC12: Emiliano Martínez
CC13: Raúl Jiménez
CC14: Lautaro Martínez
